ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
CMCSA,US,USD,27.559999465942383,-12.9,1.89,-2.92,-5.27,2.72,-9.45,32.62,24.23,-15.51,49.5,2.3,28.57,29.58,28.54,2,CMCSA
3101.T,JP,JPY,1387.0,-1.77,13.25,2.66,5.55,26.27,62.1,1792.92,844.01,-22.64,46.2,0.72,1438.6,1471.26,1206.35,2,3101.T
4341.T,JP,JPY,802.0,0.63,4.51,-0.25,4.38,2.33,3.99,991.02,737.48,-19.07,53.1,0.4,800.5,851.55,797.7,2,4341.T
7266.T,JP,JPY,860.0,-2.16,-5.74,-1.49,-5.43,15.41,43.76,1061.76,597.26,-19.0,51.3,0.88,873.4,916.89,812.53,2,7266.T
1930.T,JP,JPY,1458.0,1.18,-1.55,-1.69,-6.71,2.18,25.28,1771.72,1117.18,-17.71,50.0,1.38,1459.0,1541.43,1435.19,2,1930.T
9867.T,JP,JPY,9590.0,0.31,-1.15,-4.58,-5.14,19.72,75.23,11821.19,5472.77,-18.87,51.4,0.57,9681.0,10546.59,8862.87,2,9867.T
8416.T,JP,JPY,1045.0,-1.69,5.86,-2.25,-5.39,20.01,44.77,1446.7,716.96,-27.77,43.6,0.67,1081.7,1110.96,953.99,2,8416.T
3482.T,JP,JPY,3025.0,-0.98,2.2,1.92,-0.82,-2.23,24.46,3790.0,2430.51,-20.18,57.9,0.8,3034.45,3243.4,3003.32,2,3482.T
5142.T,JP,JPY,1411.0,-0.91,-2.61,1.29,-3.91,11.48,3.1,1775.76,1054.29,-20.54,55.3,0.77,1424.5,1510.77,1304.61,2,5142.T
9845.T,JP,JPY,1393.0,0.36,-9.55,-2.0,-8.73,28.11,83.49,1733.87,759.17,-19.66,41.6,0.53,1424.25,1527.36,1322.67,2,9845.T
7186.T,JP,JPY,1424.0,-1.66,9.64,0.04,2.41,28.56,65.91,1678.24,828.75,-15.15,41.4,0.82,1483.12,1503.5,1240.0,2,7186.T
5753.T,JP,JPY,2530.0,-0.59,12.19,0.52,5.75,13.29,25.09,2987.13,1997.73,-15.3,43.5,0.6,2595.1,2658.36,2344.34,2,5753.T
1980.T,JP,JPY,2714.0,0.44,9.96,-2.37,-1.82,28.49,118.19,3600.07,1243.9,-24.61,50.8,1.16,2749.7,2962.15,2328.15,2,1980.T
1975.T,JP,JPY,3525.0,0.28,1.5,-1.81,-8.65,19.29,87.59,4693.86,1879.12,-24.9,47.0,0.54,3634.0,3895.58,3277.91,2,1975.T
1909.T,JP,JPY,2606.0,-0.31,14.4,-0.68,-1.15,24.01,155.78,3245.49,1002.75,-19.7,48.9,1.05,2658.3,2867.22,2179.51,2,1909.T
8308.T,JP,JPY,1820.5,0.58,18.13,0.72,1.0,23.29,79.83,2152.73,1012.35,-15.43,46.6,0.84,1864.55,1844.78,1594.38,2,8308.T
3777.T,JP,JPY,59.0,0.0,0.0,1.72,-9.23,13.46,73.53,81.0,31.0,-27.16,56.2,0.81,58.3,60.76,58.08,2,3777.T
8537.T,JP,JPY,2393.0,-1.12,14.96,-0.21,-2.57,41.57,86.39,2855.33,1283.89,-16.19,47.9,0.65,2482.2,2542.88,1998.95,2,8537.T
4040.T,JP,JPY,3130.0,-0.95,-1.46,-5.58,-1.46,14.52,38.57,3888.94,2258.83,-19.52,47.0,0.85,3182.5,3334.14,3050.07,2,4040.T
